cartodb_id,the_geom,year,value,domain,data_item,county,state
306,,2002,"2,869",TOTAL,FARM OPERATIONS - ACRES OPERATED,LETCHER,KENTUCKY
307,,2002,"143,886",TOTAL,FARM OPERATIONS - ACRES OPERATED,LEWIS,KENTUCKY
309,,2002,"4,739",TOTAL,FARM OPERATIONS - ACRES OPERATED,MARTIN,KENTUCKY
310,,2002,"14,894",TOTAL,FARM OPERATIONS - ACRES OPERATED,MCCREARY,KENTUCKY
311,,2002,"37,012",TOTAL,FARM OPERATIONS - ACRES OPERATED,MENIFEE,KENTUCKY
312,,2002,"115,559",TOTAL,FARM OPERATIONS - ACRES OPERATED,MORGAN,KENTUCKY
313,,2002,"32,996",TOTAL,FARM OPERATIONS - ACRES OPERATED,OWSLEY,KENTUCKY
314,,2002,"7,064",TOTAL,FARM OPERATIONS - ACRES OPERATED,PERRY,KENTUCKY
315,,2002,"7,194",TOTAL,FARM OPERATIONS - ACRES OPERATED,PIKE,KENTUCKY
316,,2002,"37,516",TOTAL,FARM OPERATIONS - ACRES OPERATED,POWELL,KENTUCKY
317,,2002,"232,129",TOTAL,FARM OPERATIONS - ACRES OPERATED,PULASKI,KENTUCKY
319,,2002,"50,825",TOTAL,FARM OPERATIONS - ACRES OPERATED,ROWAN,KENTUCKY
320,,2002,"139,311",TOTAL,FARM OPERATIONS - ACRES OPERATED,WAYNE,KENTUCKY
321,,2002,"64,370",TOTAL,FARM OPERATIONS - ACRES OPERATED,WHITLEY,KENTUCKY
322,,2002,"59,660",TOTAL,FARM OPERATIONS - ACRES OPERATED,WOLFE,KENTUCKY
323,,2002,"147,207",TOTAL,FARM OPERATIONS - ACRES OPERATED,CALDWELL,KENTUCKY
324,,2002,"342,180",TOTAL,FARM OPERATIONS - ACRES OPERATED,CHRISTIAN,KENTUCKY
325,,2002,"156,656",TOTAL,FARM OPERATIONS - ACRES OPERATED,CRITTENDEN,KENTUCKY
326,,2002,"254,332",TOTAL,FARM OPERATIONS - ACRES OPERATED,DAVIESS,KENTUCKY
327,,2002,"68,868",TOTAL,FARM OPERATIONS - ACRES OPERATED,HANCOCK,KENTUCKY
328,,2002,"192,264",TOTAL,FARM OPERATIONS - ACRES OPERATED,HENDERSON,KENTUCKY
329,,2002,"164,163",TOTAL,FARM OPERATIONS - ACRES OPERATED,HOPKINS,KENTUCKY
330,,2002,"275,877",TOTAL,FARM OPERATIONS - ACRES OPERATED,LOGAN,KENTUCKY
331,,2002,"128,912",TOTAL,FARM OPERATIONS - ACRES OPERATED,MCLEAN,KENTUCKY
332,,2002,"138,376",TOTAL,FARM OPERATIONS - ACRES OPERATED,MUHLENBERG,KENTUCKY
333,,2002,"167,077",TOTAL,FARM OPERATIONS - ACRES OPERATED,OHIO,KENTUCKY
334,,2002,"127,911",TOTAL,FARM OPERATIONS - ACRES OPERATED,SIMPSON,KENTUCKY
335,,2002,"183,972",TOTAL,FARM OPERATIONS - ACRES OPERATED,TODD,KENTUCKY
336,,2002,"208,908",TOTAL,FARM OPERATIONS - ACRES OPERATED,UNION,KENTUCKY
337,,2002,"159,496",TOTAL,FARM OPERATIONS - ACRES OPERATED,WEBSTER,KENTUCKY
339,,2002,"94,393",TOTAL,FARM OPERATIONS - ACRES OPERATED,BRACKEN,KENTUCKY
340,,2002,"50,383",TOTAL,FARM OPERATIONS - ACRES OPERATED,CAMPBELL,KENTUCKY
341,,2002,"61,122",TOTAL,FARM OPERATIONS - ACRES OPERATED,CARROLL,KENTUCKY
342,,2002,"37,595",TOTAL,FARM OPERATIONS - ACRES OPERATED,GALLATIN,KENTUCKY
343,,2002,"116,454",TOTAL,FARM OPERATIONS - ACRES OPERATED,GRANT,KENTUCKY
344,,2002,"141,592",TOTAL,FARM OPERATIONS - ACRES OPERATED,HENRY,KENTUCKY
345,,2002,"46,479",TOTAL,FARM OPERATIONS - ACRES OPERATED,KENTON,KENTUCKY
346,,2002,"62,561",TOTAL,FARM OPERATIONS - ACRES OPERATED,OLDHAM,KENTUCKY
347,,2002,"154,787",TOTAL,FARM OPERATIONS - ACRES OPERATED,OWEN,KENTUCKY
348,,2002,"132,402",TOTAL,FARM OPERATIONS - ACRES OPERATED,PENDLETON,KENTUCKY
349,,2002,"64,528",TOTAL,FARM OPERATIONS - ACRES OPERATED,TRIMBLE,KENTUCKY
350,,2002,"113,017",TOTAL,FARM OPERATIONS - ACRES OPERATED,BALLARD,KENTUCKY
351,,2002,"169,407",TOTAL,FARM OPERATIONS - ACRES OPERATED,CALLOWAY,KENTUCKY
352,,2002,"107,446",TOTAL,FARM OPERATIONS - ACRES OPERATED,CARLISLE,KENTUCKY
353,,2002,"112,130",TOTAL,FARM OPERATIONS - ACRES OPERATED,FULTON,KENTUCKY
354,,2002,"299,620",TOTAL,FARM OPERATIONS - ACRES OPERATED,GRAVES,KENTUCKY
356,,2002,"145,822",TOTAL,FARM OPERATIONS - ACRES OPERATED,LIVINGSTON,KENTUCKY
2,,2012,"142,253",TOTAL,FARM OPERATIONS - ACRES OPERATED,BATH,KENTUCKY
